Trained,Pruning Percentage,Perplexity,ROGUE-L F1 Score,TTFT (s),Run Time (s),Output Tokens,Time per Output Token (s)
,0,23.48237171811737,1.0,0.0144717165,0.5225409135,1283.0,0.0004072805249415
1.0,2.5%,772675.5467783198,1.0,0.013988969,0.5091423749999999,1283.0,0.0003968373928293
0.0,2.5%,304660.0533357742,1.0,0.0134881925,0.5193651655,1283.0,0.0004048052731878
1.0,5.0%,1082693.9141298085,1.0,0.013644978,0.50638162,1283.0,0.00039468559625875004
0.0,5.0%,344551.8961378237,1.0,0.013631998499999999,0.5215936745,1283.0,0.00040654222486355
1.0,7.5%,1233668.681231404,1.0,0.013489058500000001,0.505758918,1283.0,0.00039420024785655
0.0,7.5%,324308.9386295512,1.0,0.013653394,0.521507011,1283.0,0.00040647467731875
1.0,10.0%,1743285.1367819107,1.0,0.0136510295,0.5068555455,1283.0,0.0003950549848012
0.0,10.0%,334114.2240934237,1.0,0.013676813,0.5196235305,1283.0,0.0004050066488698
1.0,12.5%,2292063.034199246,1.0,0.013518038,0.5033989555,1283.0,0.0003923608382696
0.0,12.5%,323676.5520490236,1.0,0.013544052000000001,0.5173659939999999,1283.0,0.00040324707248629997
1.0,15.0%,33470067.367047396,1.0,0.013419456,0.504087068,1283.0,0.00039289716913480004
0.0,15.0%,323676.5520490236,1.0,0.013557563,0.5189571755,1283.0,0.0004044872763055
1.0,17.5%,16109088.779323503,1.0,0.013719924,0.503264821,1283.0,0.00039225629072480003
0.0,17.5%,334114.2240934237,1.0,0.013750858500000001,0.5170931435,1283.0,0.00040303440646915004
1.0,20.0%,5635943.337129562,1.0,0.0135405405,0.504728584,1283.0,0.00039339718160555
0.0,20.0%,313871.26658515114,1.0,0.0135887665,0.516990301,1283.0,0.00040295424863595
1.0,22.5%,9496552.129116729,1.0,0.013839035,0.5016673325000001,1283.0,0.00039101117108335
0.0,22.5%,344551.8961378237,1.0,0.013382397,0.515539225,1283.0,0.0004018232462977
1.0,25.0%,8598316.35925441,1.0,0.0134525745,0.503533236,1283.0,0.00039246549961025
0.0,25.0%,344551.8961378237,1.0,0.013522431500000001,0.5204890375,1283.0,0.00040568124512855
1.0,27.5%,6026020.826815958,1.0,0.013454328000000002,0.5054302715000001,1283.0,0.000393944093141
0.0,27.5%,323676.5520490236,1.0,0.013487676,0.52044562,1283.0,0.0004056474045206
1.0,30.0%,6477090.047898109,1.0,0.0137116745,0.505011,1283.0,0.0003936173031956
0.0,30.0%,323676.5520490236,1.0,0.013414347,0.5218119299999999,1283.0,0.0004067123382696
1.0,32.5%,8573647.96353487,1.0,0.013446949,0.507847657,1283.0,0.00039582825954785
0.0,32.5%,334114.2240934237,1.0,0.0136382705,0.5184299244999999,1283.0,0.00040407632462970003
1.0,35.0%,8758660.127362585,1.0,0.013601466,0.5057910435,1283.0,0.00039422528721740004
0.0,35.0%,344551.8961378237,1.0,0.014144246499999999,0.5195133175,1283.0,0.0004049207462977
1.0,37.5%,13711999.739002086,1.0,0.0135191555,0.5054827900000001,1283.0,0.00039398502727979996
0.0,37.5%,313871.26658515114,1.0,0.013584153,0.5206951495000001,1283.0,0.0004058418936087
1.0,40.0%,11551328.697292756,1.0,0.013660222,0.5031328235,1283.0,0.00039215340880745003
0.0,40.0%,324308.9386295512,1.0,0.013867659000000001,0.5198632565,1283.0,0.00040519349688224995
1.0,42.5%,7634119.066199966,1.0,0.013368731,0.502503956,1283.0,0.00039166325487135
0.0,42.5%,323676.5520490236,1.0,0.013627464999999998,0.5203012515000001,1283.0,0.0004055348803585
1.0,45.0%,9625978.387100514,1.0,0.0135076585,0.5028677770000001,1283.0,0.00039194682540915
0.0,45.0%,313871.26658515114,1.0,0.013468289500000001,0.517181521,1283.0,0.00040310328994535
1.0,47.5%,8955623.700233467,1.0,0.0136954795,0.504163277,1283.0,0.0003929565681995
0.0,47.5%,324308.9386295512,1.0,0.0137426175,0.518594157,1283.0,0.0004042043312548
1.0,50.0%,10148051.142168157,1.0,0.013411512,0.504482796,1283.0,0.0003932056087295
0.0,50.0%,345225.06814868934,1.0,0.0134388335,0.5178556059999999,1283.0,0.00040362868745125
1.0,52.5%,8364037.765440228,1.0,0.013408471,0.5007949895,1283.0,0.0003903312466874
0.0,52.5%,334114.2240934237,1.0,0.0134471795,0.517777409,1283.0,0.00040356773889315
1.0,55.0%,13326930.564954907,1.0,0.013509933,0.504535181,1283.0,0.0003932464388152
0.0,55.0%,344551.8961378237,1.0,0.013559090499999999,0.5200025564999999,1283.0,0.00040530207053775
1.0,57.5%,15328085.045463018,1.0,0.013513034,0.5088296754999999,1283.0,0.00039659366757595
0.0,57.5%,324308.9386295512,1.0,0.013438383,0.523439314,1283.0,0.00040798075915815003
1.0,60.0%,9177500.703809435,1.0,0.013433443,0.5054575625,1283.0,0.0003939653643803
0.0,60.0%,323676.5520490236,1.0,0.0134542125,0.5196431695,1283.0,0.00040502195596255
1.0,62.5%,6677163.747779513,1.0,0.013836961,0.504552216,1283.0,0.0003932597162899
0.0,62.5%,304660.0533357742,1.0,0.0148293515,0.5202081365,1283.0,0.0004054623043647
1.0,65.0%,13089370.244203726,1.0,0.0133999,0.5032476545,1283.0,0.000392242910756
0.0,65.0%,323676.5520490236,1.0,0.0134404265,0.517289153,1283.0,0.00040318718082615
1.0,67.5%,6570120.006179417,1.0,0.014137179,0.502686545,1283.0,0.00039180556897894995
0.0,67.5%,334114.2240934237,1.0,0.0134457065,0.5170093505,1283.0,0.0004029690962587
1.0,70.0%,14049070.197066925,1.0,0.013483548000000001,0.503736946,1283.0,0.00039262427591575
0.0,70.0%,345225.06814868934,1.0,0.013721417999999999,0.5172225535,1283.0,0.00040313527162895
1.0,72.5%,26691397.986439396,1.0,0.013713913500000001,0.5078760865,1283.0,0.0003958504181605
0.0,72.5%,345225.06814868934,1.0,0.0134712245,0.5202950319999999,1283.0,0.00040553003273575
1.0,75.0%,80290517.69422439,1.0,0.016923938,0.509761356,1283.0,0.00039731984099760005
0.0,75.0%,344551.8961378237,1.0,0.0134654085,0.522701826,1283.0,0.0004074059438815
1.0,77.5%,62530318.05347045,1.0,0.0134734735,0.5078421325,1283.0,0.00039582395362425
0.0,77.5%,344551.8961378237,1.0,0.013471615499999999,0.521769693,1283.0,0.0004066794177708
1.0,80.0%,38132561.204481624,1.0,0.0137995155,0.505516744,1283.0,0.00039401149181605
0.0,80.0%,334114.2240934237,1.0,0.013804705,0.5209055220000001,1283.0,0.00040600586282145
1.0,82.5%,43029424.06995393,1.0,0.0134705785,0.5046306825,1283.0,0.0003933208749025
0.0,82.5%,323676.5520490236,1.0,0.013477831999999999,0.5168656465,1283.0,0.00040285709002335
1.0,85.0%,101724773.76020408,1.0,0.0137743625,0.5052716195,1283.0,0.00039382043608725
0.0,85.0%,304065.98112127866,1.0,0.013505524500000001,0.5218050775,1283.0,0.000406706997272
1.0,87.5%,89771797.75949882,1.0,0.013904969,0.5035721289999999,1283.0,0.00039249581371780004
0.0,87.5%,313871.26658515114,1.0,0.013503315500000002,0.5157816239999999,1283.0,0.00040201217770845
1.0,90.0%,275270325.1722076,1.0,0.0135453955,0.5008995165,1283.0,0.000390412717459
0.0,90.0%,313871.26658515114,1.0,0.013534098500000001,0.5148505590000001,1283.0,0.0004012864840218
1.0,92.5%,10942370.513564968,1.0,0.0135934705,0.5005507765,1283.0,0.0003901409014029
0.0,92.5%,334114.2240934237,1.0,0.013632059,0.5161497705,1283.0,0.00040229911964145
1.0,95.0%,1770952.1133045184,1.0,0.0135355715,0.5005077815,1283.0,0.0003901073901013
0.0,95.0%,334114.2240934237,1.0,0.013390061,0.513832324,1283.0,0.00040049284801245
1.0,97.5%,1186593.8558236929,1.0,0.0136753105,0.5008814779999999,1283.0,0.00039039865783315
0.0,97.5%,344551.8961378237,1.0,0.013673296500000001,0.5136373205,1283.0,0.00040034085775524997
